,index,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
index,1.0,0.03214221902975587,-0.03274268053682703,0.0034437725468321172,-0.05599381464672851,-0.005519824851657128,-0.02730726224711747,0.005106720207426973,-0.08495223470463688,0.07683953668353295,-0.07028586063138001,0.033638808822973404,0.05311069215087736,-0.02582361540487592,-0.02111475581621633
popularity,0.03214221902975587,1.0,-0.007101208619703795,0.035448134751384565,0.0010561362996994634,-0.0038531547155602744,0.050423036100496706,-0.01393078675310826,-0.044926549261586415,-0.025472412568362947,-0.09513920344466378,-0.005387153831593539,-0.04053429465994477,0.013204659932995159,0.031072758760107944
duration_ms,-0.03274268053682703,-0.007101208619703795,1.0,-0.07342624048871212,0.05852277808156142,0.008114135523599724,-0.003470165171676378,-0.03555570192677205,-0.06259983350396105,-0.10378812960483072,0.12437050184419109,0.010321328690527588,-0.15447861180153644,0.02434560569059918,0.018224618860073007
danceability,0.0034437725468321172,0.035448134751384565,-0.07342624048871212,1.0,0.1343254834689731,0.03646876939468077,0.259076733173736,-0.06921925528558356,0.10862608966979843,-0.17153333095375375,-0.18560624973011566,-0.13161685668572737,0.4773412353128838,-0.050449871431219144,0.20721811494175352
energy,-0.05599381464672851,0.0010561362996994634,0.05852277808156142,0.1343254834689731,1.0,0.04800561641931613,0.7616899598908227,-0.07836183592117939,0.14250886780871463,-0.7339063209687007,-0.1818792111124901,0.18479552229595295,0.2589339951838104,0.2478505098026184,0.18712607527129324
key,-0.005519824851657128,-0.0038531547155602744,0.008114135523599724,0.03646876939468077,0.04800561641931613,1.0,0.038590068681488184,-0.13591584110820829,0.02041766676292086,-0.040937072191106656,-0.0068228997086772075,-0.0016000351154872366,0.03410315409556691,0.010916619112810291,0.015064961073379355
loudness,-0.02730726224711747,0.050423036100496706,-0.003470165171676378,0.259076733173736,0.7616899598908227,0.038590068681488184,1.0,-0.041764439703037816,0.060826328125053494,-0.589802666748685,-0.4334768619918994,0.07689866201093876,0.2798478818998836,0.21244589657951282,0.19199186807648067
mode,0.005106720207426973,-0.01393078675310826,-0.03555570192677205,-0.06921925528558356,-0.07836183592117939,-0.13591584110820829,-0.041764439703037816,1.0,-0.04653171668437368,0.09555323646341249,-0.04995460675358008,0.014012191588595123,0.021952523802556547,0.0005655581057945093,-0.024092268920632754
speechiness,-0.08495223470463688,-0.044926549261586415,-0.06259983350396105,0.10862608966979843,0.14250886780871463,0.02041766676292086,0.060826328125053494,-0.04653171668437368,1.0,-0.0021863357894030106,-0.08961576482388978,0.20521905734843074,0.036634582881904,0.017273223330484113,-1.1121132844948679e-05
acousticness,0.07683953668353295,-0.025472412568362947,-0.10378812960483072,-0.17153333095375375,-0.7339063209687007,-0.040937072191106656,-0.589802666748685,0.09555323646341249,-0.0021863357894030106,1.0,0.10402711936289791,-0.02070036082269635,-0.10707017977230607,-0.20822414719631155,-0.17613828724609445
instrumentalness,-0.07028586063138001,-0.09513920344466378,0.12437050184419109,-0.18560624973011566,-0.1818792111124901,-0.0068228997086772075,-0.4334768619918994,-0.04995460675358008,-0.08961576482388978,0.10402711936289791,1.0,-0.07989258226235166,-0.32431232848857516,-0.05033040132787435,-0.0825803851103741
liveness,0.033638808822973404,-0.005387153831593539,0.010321328690527588,-0.13161685668572737,0.18479552229595295,-0.0016000351154872366,0.07689866201093876,0.014012191588595123,0.20521905734843074,-0.02070036082269635,-0.07989258226235166,1.0,0.01908625480710112,0.0005997673113037502,-0.023650559618474187
valence,0.05311069215087736,-0.04053429465994477,-0.15447861180153644,0.4773412353128838,0.2589339951838104,0.03410315409556691,0.2798478818998836,0.021952523802556547,0.036634582881904,-0.10707017977230607,-0.32431232848857516,0.01908625480710112,1.0,0.07827306763947314,0.13368595777261855
tempo,-0.02582361540487592,0.013204659932995159,0.02434560569059918,-0.050449871431219144,0.2478505098026184,0.010916619112810291,0.21244589657951282,0.0005655581057945093,0.017273223330484113,-0.20822414719631155,-0.05033040132787435,0.0005997673113037502,0.07827306763947314,1.0,0.06664108820638945
time_signature,-0.02111475581621633,0.031072758760107944,0.018224618860073007,0.20721811494175352,0.18712607527129324,0.015064961073379355,0.19199186807648067,-0.024092268920632754,-1.1121132844948679e-05,-0.17613828724609445,-0.0825803851103741,-0.023650559618474187,0.13368595777261855,0.06664108820638945,1.0
